GEOID,NAME,B17001_001,B17001_002,B20004_001,B20004_002,B20004_003,B20004_004,B20004_005,B20004_006,B25014_001,B25014_002,B25014_003,B25014_004,B25014_005,B25014_006,B25014_007,B25014_008,B25014_009,B25014_010,B25014_011,B25014_012,B25014_013,B25064_001,B25071_001
00601,ZCTA5 00601,17059,10552,14375,9149,13108,12590,19396,NA,5509,3283,2197,1025,38,4,19,2226,1217,985,24,0,0,383,29.1
00602,ZCTA5 00602,37655,18653,14026,8412,10456,14294,18869,30735,12740,9528,5618,3736,160,0,14,3212,1667,1452,55,38,0,400,33.8
00603,ZCTA5 00603,45929,23691,17191,12608,13415,16843,23370,38232,19228,11118,7844,3138,82,44,10,8110,4717,3184,145,47,17,433,29.6
00606,ZCTA5 00606,6392,4185,10354,8352,9406,11414,24875,NA,1946,1470,940,456,64,10,0,476,195,222,45,14,0,275,48.3
00610,ZCTA5 00610,26535,12204,16060,8785,12024,16189,24425,36094,8795,6758,4041,2636,70,11,0,2037,1246,750,22,0,19,427,30.5
00612,ZCTA5 00612,59163,27631,17892,7987,14741,17198,22046,36842,22809,14324,9881,4230,149,49,15,8485,5132,3150,150,53,0,401,32.8
00616,ZCTA5 00616,9998,4825,16767,10711,15910,15970,21021,39375,3449,2618,1526,972,72,48,0,831,534,297,0,0,0,370,24.6
00617,ZCTA5 00617,23740,11392,17981,6710,14880,17263,20977,30000,7910,5673,3815,1820,38,0,0,2237,994,1107,136,0,0,487,36.3
00622,ZCTA5 00622,6653,3255,17101,16833,10409,NA,17784,44306,2067,1428,951,399,69,9,0,639,437,202,0,0,0,344,29.7
00623,ZCTA5 00623,41620,21413,16519,12489,13366,14343,19951,37956,13406,8579,5484,2856,197,33,9,4827,2773,1757,275,22,0,471,35.8
00624,ZCTA5 00624,21803,12337,14592,5451,12406,14226,22986,24483,7411,5494,3211,2069,153,47,14,1917,1007,862,24,10,14,431,44.3
00627,ZCTA5 00627,31500,15741,16567,10424,15067,16481,22095,29053,11394,8254,5288,2822,134,10,0,3140,1565,1542,0,0,33,455,39.1
00631,ZCTA5 00631,1499,1054,15918,NA,11184,13906,25833,NA,629,300,219,73,8,0,0,329,170,144,15,0,0,214,32.7
00637,ZCTA5 00637,22266,10251,16407,8302,14773,15408,21205,30641,7033,5336,3878,1394,48,16,0,1697,893,703,94,0,7,467,32.3
00638,ZCTA5 00638,16262,8927,17541,9223,15299,18297,26648,35132,5899,4171,2527,1452,184,8,0,1728,1025,684,19,0,0,378,28.5
00641,ZCTA5 00641,26658,13881,16606,10867,14704,16677,20779,32202,8945,5409,3656,1694,31,17,11,3536,2226,1304,6,0,0,396,28.3
00646,ZCTA5 00646,37056,12268,24344,12289,16422,22500,32223,40645,11652,9001,5515,3126,295,47,18,2651,1364,1167,120,0,0,653,27
00647,ZCTA5 00647,5809,3551,15128,9500,11797,16218,22219,NA,1919,1421,1099,298,24,0,0,498,129,309,34,26,0,713,49.5
00650,ZCTA5 00650,14521,7562,16539,9559,11748,20069,23750,17949,5136,3640,2138,1409,50,43,0,1496,836,626,34,0,0,535,36.2
00652,ZCTA5 00652,3554,1452,17177,15357,23056,16491,20202,14570,1319,1097,788,282,27,0,0,222,162,60,0,0,0,620,22.4
00653,ZCTA5 00653,10471,6766,15191,6294,12999,12315,24279,28770,3596,2495,1656,793,27,9,10,1101,599,489,13,0,0,338,26.3
00656,ZCTA5 00656,18418,10110,16423,8778,12516,17113,21632,24239,6502,4668,2937,1582,100,49,0,1834,764,1007,63,0,0,349,29.7
00659,ZCTA5 00659,39845,18072,17218,9021,14331,15906,22298,31599,14160,10516,6495,3886,115,20,0,3644,2051,1568,16,9,0,456,34.7
00660,ZCTA5 00660,15905,6937,16794,11206,15907,16982,20962,28393,6255,4580,3168,1315,86,6,5,1675,1043,535,81,10,6,424,35.3
00662,ZCTA5 00662,39390,21975,16632,7992,13822,15205,20707,31568,13849,8976,6305,2604,47,0,20,4873,2885,1811,141,36,0,453,31.3
00664,ZCTA5 00664,14412,8848,16995,11970,15609,17055,18482,22726,4878,2798,1913,809,34,14,28,2080,987,1076,0,5,12,376,27.9
00667,ZCTA5 00667,23118,14494,15429,11843,14441,15011,21213,29417,7781,4718,3105,1547,50,16,0,3063,1825,1133,97,8,0,452,33
00669,ZCTA5 00669,24548,13510,16346,9963,15835,16502,22699,24844,9597,6135,4145,1940,35,7,8,3462,1965,1362,80,38,17,439,29.8
00670,ZCTA5 00670,8280,4167,16180,7418,14844,14917,22242,NA,2680,1935,1149,648,93,35,10,745,391,339,15,0,0,280,39.4
